Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-20),440.21427154541016,18.219420821017835,237.4093780517578,24.75616717953926,200.54657173156738,18.78082901492553
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-10),433.65412521362305,12.784539004518297,215.7817497253418,15.057238842737114,184.38235092163086,14.688526953265969
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-30),431.96796798706055,17.75766286096438,234.0118007659912,22.56408031461274,191.8119716644287,20.696955984172735
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,UDR,396.8227348327637,17.176062319041463,187.28815269470215,26.487951099170864,154.52951049804688,19.283765891211303
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,1.0,Langevin (Noise=0.0) | Gradient Scale=1.0,RSDR (β=-20),460.49750900268555,17.197575947233336,239.5332374572754,24.095168940314593,198.84862327575684,18.85020104658462
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,1.0,Langevin (Noise=0.0) | Gradient Scale=1.0,RSDR (β=-10),455.36583709716797,12.060833357164766,217.83398818969727,15.156244017667944,180.83198738098145,13.860882322005628
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,1.0,Langevin (Noise=0.0) | Gradient Scale=1.0,RSDR (β=-30),449.76622009277344,16.67313556164496,235.82204818725586,22.032031515484878,187.91900634765625,20.114983397072667
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,1.0,Langevin (Noise=0.0) | Gradient Scale=1.0,UDR,421.2002601623535,14.639610528908273,187.9930362701416,25.421037236018247,155.87014770507812,20.550513405984464
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,2.0,Langevin (Noise=0.0) | Gradient Scale=2.0,RSDR (β=-20),484.33814239501953,16.410073232741205,241.47921752929688,23.459296075316093,199.2323341369629,18.32173107288644
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,2.0,Langevin (Noise=0.0) | Gradient Scale=2.0,RSDR (β=-10),480.78960037231445,11.939663103939676,220.27609062194824,14.592029870166352,181.90441703796387,14.088534155012704
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,2.0,Langevin (Noise=0.0) | Gradient Scale=2.0,RSDR (β=-30),471.65881729125977,14.82856011275513,239.4072036743164,21.403501620424144,191.45578002929688,22.834898323677972
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,2.0,Langevin (Noise=0.0) | Gradient Scale=2.0,UDR,448.21855545043945,13.470364994123353,188.74666786193848,24.72469099425293,157.29727935791016,21.8777877478634
WalkerWalk,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,UDR,856.0308074951172,4.284586340379357,613.9604034423828,14.440899408889607,295.67748641967773,34.93911734016678
WalkerWalk,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,RSDR (β=-10),851.3890533447266,3.7394550733908387,643.9936676025391,15.21636342757563,394.2142524719238,29.214249458940646
WalkerWalk,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,RSDR (β=-20),838.2444305419922,3.727391621553446,655.1988754272461,4.947371257792184,416.3962860107422,29.07975231344971
